Temperature,RH,Ws,Rain,FFMC,DMC,ISI,Classes
29,57,18,0.0,65.7,3.4,1.3,0
29,61,13,1.3,64.4,4.1,1.0,0
26,82,22,13.1,47.1,2.5,0.3,0
25,89,13,2.5,28.6,1.3,0.0,0
27,77,16,0.0,64.8,3.0,1.2,0
31,67,14,0.0,82.6,5.8,3.1,1
33,54,13,0.0,88.2,9.9,6.4,1
30,73,15,0.0,86.6,12.1,5.6,1
25,88,13,0.2,52.9,7.9,0.4,0
28,79,12,0.0,73.2,9.5,1.3,0
31,65,14,0.0,84.5,12.5,4.0,1
26,81,19,0.0,84.0,13.8,4.8,1
27,84,21,1.2,50.0,6.7,0.5,0
30,78,20,0.5,59.0,4.6,1.0,0
28,80,17,3.1,49.4,3.0,0.4,0
29,89,13,0.7,36.1,1.7,0.0,0
30,89,16,0.6,37.3,1.1,0.0,0
31,78,14,0.3,56.9,1.9,0.7,0
31,55,16,0.1,79.9,4.5,2.5,0
30,80,16,0.4,59.8,3.4,0.9,0
30,78,14,0.0,81.0,6.3,2.6,1
31,67,17,0.1,79.1,7.0,2.4,0
32,62,18,0.1,81.4,8.2,3.3,1
32,66,17,0.0,85.9,11.2,5.6,1
31,64,15,0.0,86.7,14.2,5.7,1
31,64,18,0.0,86.8,17.8,6.7,1
34,53,18,0.0,89.0,21.6,9.2,1
32,55,14,0.0,89.1,25.5,7.6,1
32,47,13,0.3,79.9,18.4,2.2,0
33,50,14,0.0,88.7,22.9,7.2,1
29,68,19,1.0,59.9,2.5,1.1,0
27,75,19,1.2,55.7,2.4,0.8,0
32,76,20,0.7,63.1,2.6,1.3,0
33,78,17,0.0,80.1,4.6,2.7,0
33,66,14,0.0,85.9,7.6,4.8,1
32,63,14,0.0,87.0,10.9,5.6,1
35,64,18,0.2,80.0,9.7,2.8,0
33,68,19,0.0,85.6,12.5,6.0,1
32,68,14,1.4,66.6,7.7,1.1,0
33,69,13,0.7,66.6,6.0,1.1,0
33,76,14,0.0,81.1,8.1,2.6,0
31,75,13,0.1,75.1,7.9,1.5,0
34,81,15,0.0,81.8,9.7,3.0,0
34,61,13,0.6,73.9,7.8,1.4,0
30,80,19,0.4,60.7,5.2,1.1,0
28,76,21,0.0,72.6,7.0,0.7,0
29,70,14,0.0,82.8,9.4,3.2,1
31,68,14,0.0,85.4,12.1,4.6,1
35,59,17,0.0,88.1,12.0,7.7,1
33,65,15,0.1,81.4,12.3,2.8,1
33,70,17,0.0,85.4,18.5,5.2,1
28,79,18,0.1,73.4,16.4,1.8,0
27,66,22,0.4,68.2,10.5,1.8,0
28,78,16,0.1,70.0,9.6,1.4,0
31,65,18,0.0,84.3,12.5,4.8,1
36,53,19,0.0,89.2,17.1,10.0,1
36,48,13,0.0,90.3,22.2,8.7,1
33,76,15,0.0,86.5,24.4,5.6,1
32,73,15,0.0,86.6,26.7,5.6,1
31,79,15,0.0,85.4,28.5,4.7,1
35,64,17,0.0,87.2,31.9,6.8,1
36,45,14,0.0,78.8,4.8,2.0,0
35,55,12,0.4,78.0,5.8,1.7,0
35,63,14,0.3,76.6,5.7,1.7,0
34,69,13,0.0,85.0,8.2,4.0,1
34,65,13,0.0,86.8,11.1,5.2,1
32,75,14,0.0,86.4,13.0,5.2,1
32,69,16,0.0,86.5,15.5,5.5,1
32,60,18,0.3,77.1,11.3,2.2,0
35,59,17,0.0,87.4,14.8,6.9,1
35,55,14,0.0,88.9,18.6,7.4,1
35,63,13,0.0,88.9,21.7,7.1,1
35,51,13,0.3,81.3,15.6,2.5,0
35,63,15,0.0,87.0,19.0,5.9,1
33,66,14,0.0,87.0,21.7,5.7,1
36,55,13,0.3,82.4,15.6,3.7,1
36,61,18,0.3,80.2,11.7,2.8,1
37,52,18,0.0,89.3,16.0,9.7,1
36,54,18,0.0,89.4,20.0,9.7,1
35,62,19,0.0,89.4,23.2,9.7,1
35,68,19,0.0,88.3,25.9,8.8,1
36,58,19,0.0,88.6,29.6,9.2,1
36,55,18,0.0,89.1,33.5,9.9,1
36,53,16,0.0,89.5,37.6,10.4,1
34,64,14,0.0,88.9,40.5,9.0,1
35,60,15,0.0,88.9,43.9,8.2,1
31,78,18,0.0,85.8,45.6,4.7,1
33,82,21,0.0,84.9,47.0,4.4,1
34,64,16,0.0,89.4,50.2,7.3,1
35,48,18,0.0,90.1,54.2,12.5,1
35,70,17,0.8,72.7,25.2,1.7,0
28,80,21,16.8,52.5,8.7,0.6,0
25,76,17,7.2,46.0,1.3,0.2,0
22,86,15,10.1,30.5,0.7,0.0,0
25,78,15,3.8,42.6,1.2,0.1,0
29,73,17,0.1,68.4,1.9,1.4,0
29,75,16,0.0,80.8,3.4,2.8,1
29,74,19,0.1,75.8,3.6,2.1,0
31,71,17,0.3,69.6,3.2,1.5,0
30,73,17,0.9,62.0,2.6,1.1,0
30,77,15,1.0,56.1,2.1,0.7,0
33,73,12,1.8,59.9,2.2,0.7,0
30,77,21,1.8,58.5,1.9,1.1,0
